Category,Month,Value,Year,Source
Ensino EJA,JUL,,2021,LEM_2021.xlsx
Ensino infantil,JUL,,2021,LEM_2021.xlsx
Ensino regular,JUL,,2021,LEM_2021.xlsx
Evasão,JUL,1.0,2021,LEM_2021.xlsx
INSERIDO no mercado de trabalho,JUL,0.0,2021,LEM_2021.xlsx
INSERIDOS em curso profissionalizante,JUL,0.0,2021,LEM_2021.xlsx
Interface com educação,JUL,10.0,2021,LEM_2021.xlsx
Interface com judiciário,JUL,7.0,2021,LEM_2021.xlsx
Interface com rede socioassistencial,JUL,18.0,2021,LEM_2021.xlsx
Interface com saúde,JUL,13.0,2021,LEM_2021.xlsx
Internações,JUL,0.0,2021,LEM_2021.xlsx
Novos ingressos,JUL,0.0,2021,LEM_2021.xlsx
"Outros: Reforço escolar, psicopedagoga, trabalho educativo",JUL,0.0,2021,LEM_2021.xlsx
PIAS / Relatórios,JUL,15.0,2021,LEM_2021.xlsx
PROFISSIONALIZAÇÃO,JUL,,2021,LEM_2021.xlsx
"Reunião de equipe (técnica, casa, coordenação, gerente)",JUL,3.0,2021,LEM_2021.xlsx
SAÚDE,JUL,,2021,LEM_2021.xlsx
SCFV,JUL,,2021,LEM_2021.xlsx
Saude mental,JUL,9.0,2021,LEM_2021.xlsx
Saúde Clínica,JUL,13.0,2021,LEM_2021.xlsx
Transferências,JUL,0.0,2021,LEM_2021.xlsx
Visitas Domiciliares,JUL,0.0,2021,LEM_2021.xlsx
aguardando vaga,JUL,0.0,2021,LEM_2021.xlsx
matriculados,JUL,0.0,2021,LEM_2021.xlsx
,JUL,,2021,LEM_2021.xlsx
Apadrinhamento afetivo,AGO,,2021,LEM_2021.xlsx
Atedimento familiar,AGO,26.0,2021,LEM_2021.xlsx
Atendimentos indvidual,AGO,40.0,2021,LEM_2021.xlsx
Colocação em família substituta,AGO,3.0,2021,LEM_2021.xlsx
DESDOBRAMENTOS TÉCNICOS,AGO,,2021,LEM_2021.xlsx
Desligamentos,AGO,4.0,2021,LEM_2021.xlsx
Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),AGO,2.0,2021,LEM_2021.xlsx
EDUCAÇÃO,AGO,,2021,LEM_2021.xlsx
ENCAMINHADO para mercado de trabalho,AGO,0.0,2021,LEM_2021.xlsx
ENCAMINHADOS para curso profissionalizante,AGO,0.0,2021,LEM_2021.xlsx
Efetivos na casa,AGO,15.0,2021,LEM_2021.xlsx
Ensino EJA,AGO,,2021,LEM_2021.xlsx
Ensino infantil,AGO,,2021,LEM_2021.xlsx
Ensino regular,AGO,,2021,LEM_2021.xlsx
Evasão,AGO,0.0,2021,LEM_2021.xlsx
INSERIDO no mercado de trabalho,AGO,0.0,2021,LEM_2021.xlsx
INSERIDOS em curso profissionalizante,AGO,0.0,2021,LEM_2021.xlsx
Interface com educação,AGO,33.0,2021,LEM_2021.xlsx
Interface com judiciário,AGO,6.0,2021,LEM_2021.xlsx
Interface com rede socioassistencial,AGO,8.0,2021,LEM_2021.xlsx
Interface com saúde,AGO,,2021,LEM_2021.xlsx
Internações,AGO,,2021,LEM_2021.xlsx
Novos ingressos,AGO,1.0,2021,LEM_2021.xlsx
"Outros: Reforço escolar, psicopedagoga, trabalho educativo",AGO,0.0,2021,LEM_2021.xlsx
PIAS / Relatórios,AGO,,2021,LEM_2021.xlsx
PROFISSIONALIZAÇÃO,AGO,,2021,LEM_2021.xlsx
"Reunião de equipe (técnica, casa, coordenação, gerente)",AGO,6.0,2021,LEM_2021.xlsx
SAÚDE,AGO,,2021,LEM_2021.xlsx
SCFV,AGO,,2021,LEM_2021.xlsx
Saude mental,AGO,,2021,LEM_2021.xlsx
Saúde Clínica,AGO,,2021,LEM_2021.xlsx
Transferências,AGO,0.0,2021,LEM_2021.xlsx
Visitas Domiciliares,AGO,1.0,2021,LEM_2021.xlsx
aguardando vaga,AGO,0.0,2021,LEM_2021.xlsx
matriculados,AGO,0.0,2021,LEM_2021.xlsx
,AGO,,2021,LEM_2021.xlsx
Apadrinhamento afetivo,SET,0.0,2021,LEM_2021.xlsx
Atedimento familiar,SET,29.0,2021,LEM_2021.xlsx
Atendimentos indvidual,SET,62.0,2021,LEM_2021.xlsx
